ItemID,LocationID,TransactionDate,TransferQuantity
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-07-09,-14.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-07-12,0.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-07-24,-1.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-09,292.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-07-10,-8.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2020-03-17,-4.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-03-16,-4.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-12-24,-3.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-12-23,-3.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-12-19,-4.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2020-02-11,-3.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2020-02-12,-5.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2019-05-13,-3.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-05-29,-13.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-05-06,-3.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-05-20,-4.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-22,-7.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2019-06-19,-1.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-06-13,-2.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-19,-2.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-06-18,-5.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-26,-6.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-24,-2.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-25,-1.0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-06-06,-6.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-03-25,-11.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2019-03-18,-4.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-15,-5.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-13,-2.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-09,-9.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-02-15,-10.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-13,-5.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2020-04-22,-1.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-04-17,-3.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-09-30,0.0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-09-24,-2.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-09-19,-3.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-12,-12.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-09-30,-2.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-23,-11.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-26,-3.0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-09-26,-1.0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-30,-6.0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-24,-11.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-11-19,-1.0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-11-16,0.0
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-11-12,-1.0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-11-30,-14.0
